shape,columns,is_bad,deficient_samples,full_child_blocks_level_0,full_child_blocks_level_1,full_child_blocks_level_2,sibling_groups_level_1,sibling_groups_level_2,sibling_groups_level_3,dead_sibling_groups_level_1,dead_sibling_groups_level_2,dead_sibling_groups_level_3,one_live_sibling_groups_level_1,one_live_sibling_groups_level_2,one_live_sibling_groups_level_3,singleton_groups_level_1,singleton_groups_level_2,singleton_groups_level_3,zero_singleton_groups_level_1,zero_singleton_groups_level_2,zero_singleton_groups_level_3
188,2:3:4:5:6:7:14:42:56,,5,6,3,1,0,1,1,0,1,1,0,1,1,2,1,1,1,1,0
189,2:3:4:5:6:7:15:29:43,,5,6,3,1,0,1,1,0,1,1,0,1,1,2,1,1,1,1,0
190,2:3:4:5:6:7:15:29:57,,5,6,3,1,0,1,1,0,1,1,0,1,1,2,1,1,1,1,0
191,2:3:4:5:6:7:15:43:57,,5,6,3,1,0,1,1,0,1,1,0,1,1,2,1,1,1,1,0
192,2:3:4:5:6:7:16:30:44,,5,6,3,1,0,1,1,0,1,1,0,1,1,2,1,1,1,1,0
193,2:3:4:5:6:7:16:30:58,,5,6,3,1,0,1,1,0,1,1,0,1,1,2,1,1,1,1,0
194,2:3:4:5:6:7:16:44:58,,5,6,3,1,0,1,1,0,1,1,0,1,1,2,1,1,1,1,0
195,2:3:4:5:6:7:17:31:45,,5,6,3,1,0,1,1,0,1,1,0,1,1,2,1,1,1,1,0
196,2:3:4:5:6:7:17:31:59,,5,6,3,1,0,1,1,0,1,1,0,1,1,2,1,1,1,1,0
197,2:3:4:5:6:7:17:45:59,,5,6,3,1,0,1,1,0,1,1,0,1,1,2,1,1,1,1,0
198,2:3:4:5:6:7:18:32:46,,5,6,3,1,0,1,1,0,1,1,0,1,1,2,1,1,1,1,0
199,2:3:4:5:6:7:18:32:60,,5,6,3,1,0,1,1,0,1,1,0,1,1,2,1,1,1,1,0
200,2:3:4:5:6:7:18:46:60,,5,6,3,1,0,1,1,0,1,1,0,1,1,2,1,1,1,1,0
201,2:3:4:5:6:7:19:33:47,,5,6,3,1,0,1,1,0,1,1,0,1,1,2,1,1,1,1,0
202,2:3:4:5:6:7:19:33:61,,5,6,3,1,0,1,1,0,1,1,0,1,1,2,1,1,1,1,0
